iter	Passed	Remaining
0	0	22
1	0	21
2	0	21
3	0	19
4	1	19
5	1	20
6	1	20
7	1	21
8	2	21
9	2	20
10	2	20
11	2	20
12	3	20
13	3	20
14	3	19
15	3	19
16	4	19
17	4	19
18	4	19
19	4	19
20	5	19
21	5	18
22	5	18
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	6	17
29	7	16
30	7	16
31	7	16
32	7	16
33	8	15
34	8	15
35	8	15
36	8	14
37	8	14
38	9	14
39	9	14
40	9	13
41	9	13
42	9	13
43	10	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	11	11
52	12	10
53	12	10
54	12	10
55	12	9
56	12	9
57	13	9
58	13	9
59	13	9
60	13	8
61	13	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	7
69	15	6
70	16	6
71	16	6
72	16	6
73	16	5
74	16	5
75	17	5
76	17	5
77	17	4
78	17	4
79	18	4
80	18	4
81	18	4
82	18	3
83	19	3
84	19	3
85	19	3
86	19	2
87	20	2
88	20	2
89	20	2
90	20	2
91	21	1
92	21	1
93	21	1
94	21	1
95	21	0
96	22	0
97	22	0
98	22	0
99	22	0
